age_group,option,count,pct
18-22 岁,隐私泄露,20,69.0
18-22 岁,推荐商家不客观,16,55.2
18-22 岁,推荐不准确,15,51.7
18-22 岁,无法真正执行，只是聊天,10,34.5
18-22 岁,主动提醒太打扰,9,31.0
18-22 岁,操作太复杂,5,17.2
18-22 岁,记住的信息太多,2,6.9
18-22 岁,其他：,0,0.0
23-26 岁,隐私泄露,18,69.2
23-26 岁,推荐不准确,11,42.3
23-26 岁,推荐商家不客观,11,42.3
23-26 岁,无法真正执行，只是聊天,11,42.3
23-26 岁,主动提醒太打扰,9,34.6
23-26 岁,记住的信息太多,4,15.4
23-26 岁,操作太复杂,1,3.8
23-26 岁,其他：,0,0.0
27-30 岁,隐私泄露,11,64.7
27-30 岁,主动提醒太打扰,9,52.9
27-30 岁,推荐不准确,6,35.3
27-30 岁,无法真正执行，只是聊天,6,35.3
27-30 岁,推荐商家不客观,5,29.4
27-30 岁,操作太复杂,2,11.8
27-30 岁,记住的信息太多,2,11.8
27-30 岁,其他：,0,0.0
30 岁以上,推荐不准确,16,50.0
30 岁以上,隐私泄露,16,50.0
30 岁以上,推荐商家不客观,14,43.8
30 岁以上,无法真正执行，只是聊天,12,37.5
30 岁以上,主动提醒太打扰,10,31.2
30 岁以上,操作太复杂,10,31.2
30 岁以上,记住的信息太多,7,21.9
30 岁以上,其他：,0,0.0
