age_group,option,count,pct
18-22 岁,需要在多个 App 之间反复切换,21,72.4
18-22 岁,信息太多，不知道怎么选,18,62.1
18-22 岁,餐厅 / 活动评价真假难辨,16,55.2
18-22 岁,不知道营业时间、排队情况是否合适,9,31.0
18-22 岁,不知道是否符合预算,7,24.1
18-22 岁,不知道路线是否顺路,3,10.3
18-22 岁,临时计划变化后，需要重新查很多信息,3,10.3
18-22 岁,和朋友意见不统一，很难协调,1,3.4
18-22 岁,其他：,0,0.0
23-26 岁,餐厅 / 活动评价真假难辨,17,65.4
23-26 岁,信息太多，不知道怎么选,15,57.7
23-26 岁,需要在多个 App 之间反复切换,10,38.5
23-26 岁,和朋友意见不统一，很难协调,7,26.9
23-26 岁,不知道路线是否顺路,5,19.2
23-26 岁,不知道是否符合预算,4,15.4
23-26 岁,不知道营业时间、排队情况是否合适,3,11.5
23-26 岁,临时计划变化后，需要重新查很多信息,3,11.5
23-26 岁,其他：,1,3.8
27-30 岁,餐厅 / 活动评价真假难辨,12,70.6
27-30 岁,不知道营业时间、排队情况是否合适,8,47.1
27-30 岁,信息太多，不知道怎么选,8,47.1
27-30 岁,需要在多个 App 之间反复切换,8,47.1
27-30 岁,不知道是否符合预算,3,17.6
27-30 岁,和朋友意见不统一，很难协调,3,17.6
27-30 岁,不知道路线是否顺路,2,11.8
27-30 岁,临时计划变化后，需要重新查很多信息,1,5.9
27-30 岁,其他：,0,0.0
30 岁以上,信息太多，不知道怎么选,21,65.6
30 岁以上,餐厅 / 活动评价真假难辨,19,59.4
30 岁以上,需要在多个 App 之间反复切换,13,40.6
30 岁以上,临时计划变化后，需要重新查很多信息,9,28.1
30 岁以上,不知道是否符合预算,8,25.0
30 岁以上,不知道路线是否顺路,8,25.0
30 岁以上,不知道营业时间、排队情况是否合适,6,18.8
30 岁以上,和朋友意见不统一，很难协调,3,9.4
30 岁以上,其他：,0,0.0
