age_group,option,count,pct
18-22 岁,想不到吃什么/玩什么时，帮我找灵感,16,55.2
18-22 岁,根据预算、口味、距离、评分等推荐餐厅,14,48.3
18-22 岁,帮我留意限时优惠 / 抢购 / 演出预约,12,41.4
18-22 岁,帮我和朋友协调约饭 / 聚会地点，根据多人偏好提供建议,11,37.9
18-22 岁,帮我规划周末活动 / 短途游 / citywalk,11,37.9
18-22 岁,突发情况帮我兜底，例如找 24h 药店、医院、维修等,7,24.1
18-22 岁,根据天气、时间等实时调整我已经定好的方案,6,20.7
18-22 岁,"主动提醒我""该吃饭了""""该出门了""""该订酒店了""等",1,3.4
18-22 岁,其他：,0,0.0
23-26 岁,想不到吃什么/玩什么时，帮我找灵感,15,57.7
23-26 岁,根据预算、口味、距离、评分等推荐餐厅,15,57.7
23-26 岁,帮我规划周末活动 / 短途游 / citywalk,11,42.3
23-26 岁,帮我留意限时优惠 / 抢购 / 演出预约,10,38.5
23-26 岁,帮我和朋友协调约饭 / 聚会地点，根据多人偏好提供建议,6,23.1
23-26 岁,根据天气、时间等实时调整我已经定好的方案,6,23.1
23-26 岁,突发情况帮我兜底，例如找 24h 药店、医院、维修等,6,23.1
23-26 岁,"主动提醒我""该吃饭了""""该出门了""""该订酒店了""等",2,7.7
23-26 岁,其他：,0,0.0
27-30 岁,根据预算、口味、距离、评分等推荐餐厅,12,70.6
27-30 岁,帮我规划周末活动 / 短途游 / citywalk,11,64.7
27-30 岁,想不到吃什么/玩什么时，帮我找灵感,7,41.2
27-30 岁,帮我和朋友协调约饭 / 聚会地点，根据多人偏好提供建议,6,35.3
27-30 岁,帮我留意限时优惠 / 抢购 / 演出预约,4,23.5
27-30 岁,根据天气、时间等实时调整我已经定好的方案,4,23.5
27-30 岁,突发情况帮我兜底，例如找 24h 药店、医院、维修等,4,23.5
27-30 岁,"主动提醒我""该吃饭了""""该出门了""""该订酒店了""等",1,5.9
27-30 岁,其他：,0,0.0
30 岁以上,帮我和朋友协调约饭 / 聚会地点，根据多人偏好提供建议,20,62.5
30 岁以上,帮我规划周末活动 / 短途游 / citywalk,17,53.1
30 岁以上,想不到吃什么/玩什么时，帮我找灵感,17,53.1
30 岁以上,根据预算、口味、距离、评分等推荐餐厅,17,53.1
30 岁以上,帮我留意限时优惠 / 抢购 / 演出预约,7,21.9
30 岁以上,根据天气、时间等实时调整我已经定好的方案,7,21.9
30 岁以上,突发情况帮我兜底，例如找 24h 药店、医院、维修等,6,18.8
30 岁以上,"主动提醒我""该吃饭了""""该出门了""""该订酒店了""等",0,0.0
30 岁以上,其他：,0,0.0
