age_group,option,count,pct
18-22 岁,A. 非常希望，这能帮助大家理解和达成共识,12,41.4
18-22 岁,B. 比较希望，但简单说明即可,10,34.5
18-22 岁,D. 不太希望，觉得解释太多会麻烦,4,13.8
18-22 岁,C. 无所谓，有没有都可以,3,10.3
23-26 岁,A. 非常希望，这能帮助大家理解和达成共识,10,38.5
23-26 岁,B. 比较希望，但简单说明即可,10,38.5
23-26 岁,C. 无所谓，有没有都可以,4,15.4
23-26 岁,D. 不太希望，觉得解释太多会麻烦,2,7.7
27-30 岁,B. 比较希望，但简单说明即可,9,52.9
27-30 岁,A. 非常希望，这能帮助大家理解和达成共识,7,41.2
27-30 岁,D. 不太希望，觉得解释太多会麻烦,1,5.9
30 岁以上,A. 非常希望，这能帮助大家理解和达成共识,13,40.6
30 岁以上,B. 比较希望，但简单说明即可,12,37.5
30 岁以上,C. 无所谓，有没有都可以,4,12.5
30 岁以上,D. 不太希望，觉得解释太多会麻烦,3,9.4
