age_group,option,count,pct
18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",11,37.9
18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",10,34.5
18-22 岁,C.每周使用几次，有需要时才用,8,27.6
23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",14,53.8
23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",9,34.6
23-26 岁,C.每周使用几次，有需要时才用,3,11.5
27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",11,64.7
27-30 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",5,29.4
27-30 岁,C.每周使用几次，有需要时才用,1,5.9
30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",15,46.9
30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",9,28.1
30 岁以上,C.每周使用几次，有需要时才用,7,21.9
30 岁以上,D.偶尔使用，一个月几次,1,3.1
