age_group,option,count,pct
18-22 岁,A. 自动重新生成更符合条件的方案,10,34.5
18-22 岁,C. 直接告诉我哪里不满足，由我决定是否调整,9,31.0
18-22 岁,B. 主动追问缺失信息后再修改,7,24.1
18-22 岁,D. 给出几个不完美但可选的备选方案,2,6.9
18-22 岁,E. 不需要 AI 主动处理，我会重新提问,1,3.4
23-26 岁,B. 主动追问缺失信息后再修改,9,34.6
23-26 岁,C. 直接告诉我哪里不满足，由我决定是否调整,8,30.8
23-26 岁,A. 自动重新生成更符合条件的方案,7,26.9
23-26 岁,E. 不需要 AI 主动处理，我会重新提问,1,3.8
23-26 岁,D. 给出几个不完美但可选的备选方案,1,3.8
27-30 岁,C. 直接告诉我哪里不满足，由我决定是否调整,9,52.9
27-30 岁,B. 主动追问缺失信息后再修改,4,23.5
27-30 岁,A. 自动重新生成更符合条件的方案,4,23.5
30 岁以上,A. 自动重新生成更符合条件的方案,16,50.0
30 岁以上,C. 直接告诉我哪里不满足，由我决定是否调整,8,25.0
30 岁以上,B. 主动追问缺失信息后再修改,5,15.6
30 岁以上,D. 给出几个不完美但可选的备选方案,2,6.2
30 岁以上,E. 不需要 AI 主动处理，我会重新提问,1,3.1
