age_group,option,count,pct
18-22 岁,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,12,41.4
18-22 岁,B. 继续在群里讨论，由大家慢慢决定,7,24.1
18-22 岁,C. 让最积极 / 最熟悉的人来决定,5,17.2
18-22 岁,D. 直接选择最常去、最稳妥的地方,5,17.2
23-26 岁,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,17,65.4
23-26 岁,B. 继续在群里讨论，由大家慢慢决定,7,26.9
23-26 岁,其他：_____,1,3.8
23-26 岁,D. 直接选择最常去、最稳妥的地方,1,3.8
27-30 岁,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,12,70.6
27-30 岁,C. 让最积极 / 最熟悉的人来决定,3,17.6
27-30 岁,B. 继续在群里讨论，由大家慢慢决定,2,11.8
30 岁以上,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,27,84.4
30 岁以上,B. 继续在群里讨论，由大家慢慢决定,3,9.4
30 岁以上,C. 让最积极 / 最熟悉的人来决定,2,6.2
