age_group,option,count,pct
18-22 岁,口味不同,14,48.3
18-22 岁,预算不同,13,44.8
18-22 岁,大家都不想做决定,11,37.9
18-22 岁,距离远近不同,10,34.5
18-22 岁,时间不一致,9,31.0
18-22 岁,有人忌口 / 过敏 / 不吃某类食物,6,20.7
18-22 岁,有人想尝新，有人想吃熟悉的店,5,17.2
18-22 岁,有人想安静聊天，有人想热闹,2,6.9
18-22 岁,其他：,0,0.0
23-26 岁,口味不同,16,61.5
23-26 岁,距离远近不同,13,50.0
23-26 岁,时间不一致,10,38.5
23-26 岁,有人想尝新，有人想吃熟悉的店,6,23.1
23-26 岁,预算不同,6,23.1
23-26 岁,有人忌口 / 过敏 / 不吃某类食物,5,19.2
23-26 岁,有人想安静聊天，有人想热闹,3,11.5
23-26 岁,大家都不想做决定,2,7.7
23-26 岁,其他：,1,3.8
27-30 岁,口味不同,12,70.6
27-30 岁,时间不一致,8,47.1
27-30 岁,有人忌口 / 过敏 / 不吃某类食物,7,41.2
27-30 岁,距离远近不同,7,41.2
27-30 岁,大家都不想做决定,4,23.5
27-30 岁,有人想安静聊天，有人想热闹,4,23.5
27-30 岁,有人想尝新，有人想吃熟悉的店,2,11.8
27-30 岁,预算不同,2,11.8
27-30 岁,其他：,0,0.0
30 岁以上,口味不同,21,65.6
30 岁以上,时间不一致,17,53.1
30 岁以上,有人想尝新，有人想吃熟悉的店,14,43.8
30 岁以上,距离远近不同,14,43.8
30 岁以上,有人忌口 / 过敏 / 不吃某类食物,9,28.1
30 岁以上,预算不同,7,21.9
30 岁以上,有人想安静聊天，有人想热闹,4,12.5
30 岁以上,大家都不想做决定,3,9.4
30 岁以上,其他：,0,0.0
