age_group,option,count,pct
18-22 岁,B. 可以记录，但需要每个人自己填写或确认后才能使用,13,44.8
18-22 岁,C. 可以记录，但我希望能随时查看、修改或删除,10,34.5
18-22 岁,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,6,20.7
23-26 岁,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,11,42.3
23-26 岁,B. 可以记录，但需要每个人自己填写或确认后才能使用,8,30.8
23-26 岁,C. 可以记录，但我希望能随时查看、修改或删除,6,23.1
23-26 岁,D. 只希望记录我自己的偏好，不希望记录他人的偏好,1,3.8
27-30 岁,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,9,52.9
27-30 岁,B. 可以记录，但需要每个人自己填写或确认后才能使用,5,29.4
27-30 岁,C. 可以记录，但我希望能随时查看、修改或删除,2,11.8
27-30 岁,D. 只希望记录我自己的偏好，不希望记录他人的偏好,1,5.9
30 岁以上,C. 可以记录，但我希望能随时查看、修改或删除,15,46.9
30 岁以上,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,10,31.2
30 岁以上,B. 可以记录，但需要每个人自己填写或确认后才能使用,7,21.9
