age_group,option,count,pct
18-22 岁,忌口 / 过敏信息,21,72.4
18-22 岁,口味偏好,18,62.1
18-22 岁,常用预算,15,51.7
18-22 岁,偏好场景，例如商场、公园、安静餐厅、户外活动等,12,41.4
18-22 岁,喜欢或不喜欢的餐厅 / 活动类型,12,41.4
18-22 岁,和某些朋友 / 小团体的共同偏好,8,27.6
18-22 岁,常去区域,3,10.3
18-22 岁,不希望 AI 记住任何信息,0,0.0
23-26 岁,忌口 / 过敏信息,18,69.2
23-26 岁,口味偏好,16,61.5
23-26 岁,偏好场景，例如商场、公园、安静餐厅、户外活动等,13,50.0
23-26 岁,喜欢或不喜欢的餐厅 / 活动类型,13,50.0
23-26 岁,常用预算,11,42.3
23-26 岁,和某些朋友 / 小团体的共同偏好,10,38.5
23-26 岁,常去区域,1,3.8
23-26 岁,不希望 AI 记住任何信息,0,0.0
27-30 岁,口味偏好,16,94.1
27-30 岁,忌口 / 过敏信息,13,76.5
27-30 岁,喜欢或不喜欢的餐厅 / 活动类型,12,70.6
27-30 岁,偏好场景，例如商场、公园、安静餐厅、户外活动等,11,64.7
27-30 岁,常用预算,6,35.3
27-30 岁,和某些朋友 / 小团体的共同偏好,3,17.6
27-30 岁,常去区域,2,11.8
27-30 岁,不希望 AI 记住任何信息,0,0.0
30 岁以上,口味偏好,27,84.4
30 岁以上,忌口 / 过敏信息,24,75.0
30 岁以上,偏好场景，例如商场、公园、安静餐厅、户外活动等,16,50.0
30 岁以上,喜欢或不喜欢的餐厅 / 活动类型,15,46.9
30 岁以上,和某些朋友 / 小团体的共同偏好,14,43.8
30 岁以上,常用预算,12,37.5
30 岁以上,常去区域,5,15.6
30 岁以上,不希望 AI 记住任何信息,0,0.0
