age_group,option,count,pct
18-22 岁,A. 一个人吃什么/点什么外卖,13,44.8
18-22 岁,B. 和朋友约饭 / 聚会地点,6,20.7
18-22 岁,D. 怎么安排本地路线 / 活动顺序,5,17.2
18-22 岁,C. 周末去哪玩 / citywalk / 看展,3,10.3
18-22 岁,E. 我基本不纠结,2,6.9
23-26 岁,A. 一个人吃什么/点什么外卖,12,46.2
23-26 岁,B. 和朋友约饭 / 聚会地点,6,23.1
23-26 岁,D. 怎么安排本地路线 / 活动顺序,4,15.4
23-26 岁,C. 周末去哪玩 / citywalk / 看展,3,11.5
23-26 岁,E. 我基本不纠结,1,3.8
27-30 岁,A. 一个人吃什么/点什么外卖,6,35.3
27-30 岁,C. 周末去哪玩 / citywalk / 看展,4,23.5
27-30 岁,B. 和朋友约饭 / 聚会地点,4,23.5
27-30 岁,D. 怎么安排本地路线 / 活动顺序,2,11.8
27-30 岁,E. 我基本不纠结,1,5.9
30 岁以上,B. 和朋友约饭 / 聚会地点,10,31.2
30 岁以上,A. 一个人吃什么/点什么外卖,9,28.1
30 岁以上,C. 周末去哪玩 / citywalk / 看展,6,18.8
30 岁以上,D. 怎么安排本地路线 / 活动顺序,4,12.5
30 岁以上,E. 我基本不纠结,3,9.4
