age_group,option,count,pct
18-22 岁,早上出门前，提醒天气、早餐、通勤,14,48.3
18-22 岁,中午饭点，推荐午餐,13,44.8
18-22 岁,晚上下班 / 下课后，推荐晚餐或活动,11,37.9
18-22 岁,深夜突发情况时，提供应急帮助,11,37.9
18-22 岁,针对制定方案实时跟进，如有变动实时提醒,11,37.9
18-22 岁,周五 / 周末前，推荐周末安排,6,20.7
18-22 岁,不接受AI主动提醒,1,3.4
23-26 岁,早上出门前，提醒天气、早餐、通勤,16,61.5
23-26 岁,中午饭点，推荐午餐,12,46.2
23-26 岁,深夜突发情况时，提供应急帮助,10,38.5
23-26 岁,晚上下班 / 下课后，推荐晚餐或活动,9,34.6
23-26 岁,针对制定方案实时跟进，如有变动实时提醒,9,34.6
23-26 岁,周五 / 周末前，推荐周末安排,8,30.8
23-26 岁,不接受AI主动提醒,0,0.0
27-30 岁,早上出门前，提醒天气、早餐、通勤,12,70.6
27-30 岁,晚上下班 / 下课后，推荐晚餐或活动,11,64.7
27-30 岁,周五 / 周末前，推荐周末安排,9,52.9
27-30 岁,中午饭点，推荐午餐,7,41.2
27-30 岁,深夜突发情况时，提供应急帮助,7,41.2
27-30 岁,针对制定方案实时跟进，如有变动实时提醒,5,29.4
27-30 岁,不接受AI主动提醒,0,0.0
30 岁以上,早上出门前，提醒天气、早餐、通勤,20,62.5
30 岁以上,周五 / 周末前，推荐周末安排,18,56.2
30 岁以上,中午饭点，推荐午餐,14,43.8
30 岁以上,深夜突发情况时，提供应急帮助,13,40.6
30 岁以上,晚上下班 / 下课后，推荐晚餐或活动,12,37.5
30 岁以上,针对制定方案实时跟进，如有变动实时提醒,12,37.5
30 岁以上,不接受AI主动提醒,0,0.0
