age_group,identity_code,identity_label,school_work_status,school_work_rule,count
18-22 岁,A,专科,在校,18-22 岁 + 专科/本科生,1
18-22 岁,B,本科生,在校,18-22 岁 + 专科/本科生,28
23-26 岁,A,专科,边界模糊-剔除,23-26 岁 + 专科/本科生,2
23-26 岁,B,本科生,边界模糊-剔除,23-26 岁 + 专科/本科生,15
23-26 岁,C,研究生,在校,23-26 岁 + 研究生/博士生,3
23-26 岁,E,已工作 1-3 年,已工作,明确选择已工作 1-3 年/3 年以上,5
23-26 岁,F,已工作 3 年以上,已工作,明确选择已工作 1-3 年/3 年以上,1
27-30 岁,A,专科,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作,2
27-30 岁,B,本科生,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作,8
27-30 岁,C,研究生,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作,2
27-30 岁,D,博士生,在校,27-30 岁 + 博士生,1
27-30 岁,E,已工作 1-3 年,已工作,明确选择已工作 1-3 年/3 年以上,1
27-30 岁,F,已工作 3 年以上,已工作,明确选择已工作 1-3 年/3 年以上,3
30 岁以上,A,专科,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作,3
30 岁以上,B,本科生,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作,11
30 岁以上,C,研究生,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作,6
30 岁以上,D,博士生,边界模糊-剔除,30 岁以上 + 博士生,1
30 岁以上,E,已工作 1-3 年,已工作,明确选择已工作 1-3 年/3 年以上,1
30 岁以上,F,已工作 3 年以上,已工作,明确选择已工作 1-3 年/3 年以上,10
