店名,类别,人均,地址,纬度,经度,代表菜
必胜客(GOGO新天地店),西餐,50,广州市番禺区中二横路1号高高新天地商业广场B栋1层,23.063589,113.391727,意面;牛排;披萨
达美乐比萨(GOGO新天地店),西餐,75,广州市番禺区小谷围街贝岗村贝岗村大街1号高高新天地商业广场二期2层,23.062511,113.391687,披萨
锅北北小锅烀饼铁锅炖(GOGO新天地1期店),东北菜,49,广州市番禺区贝岗村大街1号一期GoGo新天地3层308,23.061926,113.391785,铁锅炖大鹅;东北炖鸡锅
麦当劳(中二横路分店餐厅),快餐,25,广州市番禺区小谷围街中二横路1号高高新天地商业广场第一期一层1028商铺,23.061158,113.392003,巨无霸汉堡;麦辣鸡翅
艾克馕来了·新疆音乐餐厅(大学城贝岗店),新疆菜,35,广州市番禺区大学城广外西路,23.060839,113.395625,大盘鸡;新疆拌面
念念Restaurant(贝岗店),家常菜,30,广州市番禺区小谷围街贝岗村青云坊五巷19号101念念餐厅,23.061126,113.392801,炒花甲;三杯鸡;炒青菜
葡萄熟了.新疆味道,新疆菜,45,广州市番禺区青蓝街28号,23.057928,113.387875,莲白炒馕;羊肉串;新疆拌面;大盘鸡
萨莉亚意大利餐厅(GOGO新天地店),西餐,25,广州市番禺区贝岗村大街GOGO新天地1楼,23.061640,113.392256,肉酱焗饭;牛排;鸡排
潮前方潮汕牛肉粿·火锅(大学城店),潮汕菜,30,广州市番禺区小谷围青蓝街28号1栋102-2,23.057480,113.387276,潮汕牛肉粿条;潮汕牛肉火锅
都城快餐(大学城店),快餐,25,广州市番禺区小谷围青蓝街28号创智大厦5栋103,23.057729,113.388483,烧腊饭;蒸饭
桑拿鸡煲王(大学城店),粤菜,55,广州市番禺区小谷围街北亭村咏凤二街商业街23-11,23.046262,113.375478,桑拿鸡
仙庙烧鸡(北亭店),粤菜,40,广州市番禺区咏凤二街14号101铺,23.046174,113.374139,烧鸡;烧排骨;炒粉;烤鱼
大城小厨(大学城店),川湘菜,43,广州市番禺区大学城星光下道与大学城中环西路交叉口西北160米,23.046733,113.373267,干锅肥肠;小炒土猪肉
黎城記粉面·饺子·云吞,粉面,21,广州市番禺区北亭村渭水大街四巷12号101,23.047521,113.371660,牛腩拌粉;瘦肉汤粉
车田情酒家(大学城店),粤菜,48,广州市番禺区车田情酒家东南门旁,23.047596,113.374859,脆皮烧鸭;香煎豆腐;多味鱼
大雄寿司(大学城店),日料,93,广州市番禺区大学城北亭村北亭大街138号之1-3,23.046821,113.374633,寿司
林哥私厨,家常菜,40,广州市番禺区广州大学城北亭村北亭大街133号之二,23.046917,113.373855,紫苏焖鸭;肉末茄子;清蒸鲈鱼
鹿其林酒家(大学城校区广东工业大学店),粤菜,80,广州市番禺区大学城中环西路广东工业大学西区4饭堂2楼,23.042493,113.383630,虾饺皇;蛋挞;烧鹅
椒椒铜炉火锅鸡(大学城店),火锅,40,广州市番禺区南亭大道47号,23.037863,113.386133,火锅鸡;排骨火锅鸡
林记·老广鸡煲,火锅,50,广州市番禺区大学城南亭商业街5号楼01铺,23.037688,113.387359,广式鸡煲
串记烧烤,烧烤,40,广州市番禺区南亭松山街4号之一,23.035878,113.387881,羊肉串;烤鸡翅;烤茄子
文宇家常菜(星汇文宇店),家常菜,29,广州市番禺区明志街50号108(大学城南地铁站F口步行360米),23.039089,113.401276,秘制牛腩;茶树菇炖鸡;清蒸黄骨鱼
云山诗意酒家(大学城南站店),粤菜,122,广州市番禺区立德街66号(雅乐轩酒店内),23.039450,113.405944,石板牛肉粒;酸汤肥牛;沙姜鸡
满街香东北菜馆,东北菜,36,广州市番禺区穗石村东门广场八号楼106,23.047301,113.408822,锅包肉;地三鲜
拾穗者餐厅(穗石村店),家常菜,54,广州市番禺区小谷围穗石村大街7号103-104铺,23.046379,113.410508,蒜苔腊肉;香干炒肉;回锅肉
潮汕石橄榄鸡炉,潮汕菜,50,广州市番禺区穗石童星幼儿园西北门北60米,23.048762,113.410571,橄榄鸡打边炉
饮和居风味餐厅,粤菜,96,广州市番禺区大学城华工北路68华工·大学城中心酒店,23.053571,113.406239,水晶鸡;白切鸡;客家豆腐
遇见小面(华南理工校区店),粉面,30,广州市番禺区小谷围街外环东路382号生活区小型公建工程2(自编公建B)二层1号房,23.051293,113.403699,重庆小面;麻辣牛肉面;锅巴土豆
肯德基(中医药大学K-COFFEE店),快餐,25,广州市番禺区蒲影路与榕阴路交叉口南160米,23.06001,113.407177,吮指原味鸡;汉堡
粤来遇蜀,川湘菜,51,广州市番禺区大学城星海东路与青蓝街交叉口北100米,23.056122,113.384265,麻辣小龙虾;椒香小酥肉;宫保鸡丁
